#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
150;130,9;123,6;117,3;98,4;27,8;54,1;51,3;10,7;#BEC7D1;35,26;pale blue-cyan;#614532;22,75;red-orange;#776A5C;13,68;pale orange;#413E2E;9,85;dark yellow-orange;#27180F;9,37;very dark red-orange
151;124,8;126,3;119,2;66,8;26,5;50,6;49,9;6,5;#FCFDFD;35,27;white;#0C0C07;22,71;very dark yellow;#2A2B1A;16,43;very dark yellow;#595749;10,03;dark yellow-orange;#9698A3;9,01;light grey
152;127,6;119,1;106,5;63,1;17,9;50,5;49,1;9,1;#C1AF95;23,15;pale orange;#978D7D;21,62;pale orange;#34312C;16,11;dark orange;#191716;15,74;very dark red-orange;#6E6454;12;pale orange
153;126;135,4;123,7;138,4;25,7;55,2;54,1;13,5;#DDE5EE;29,11;white;#424A32;22,33;dark yellow-green;#626F38;13,4;yellow;#1F231E;13,2;very dark green;#8A9DAD;11,76;pale blue-cyan
154;91,7;95;93,2;146,6;27;39,6;38,2;7,9;#12150E;24,55;very dark yellow-green;#DDDEE7;20,75;very light grey;#2F3520;19,66;dark yellow-green;#3A404D;15,63;dark blue-cyan;#606469;14,33;pale blue-cyan
155;119,7;111,9;113,6;173,4;21,5;49,1;46,8;7,8;#9D9A9F;35,88;light grey;#AEB5BD;19,24;light grey;#221616;17,57;very dark red;#462925;13,83;dark red;#4C433E;7,4;dark red-orange
156;176,5;169,6;158,7;89,3;13,8;70,3;69,5;9,2;#D7CEC4;27,1;pale orange;#B3B6BA;25,16;light grey;#A9A893;18,12;pale yellow-orange;#878579;16,37;pale yellow-orange;#735740;7,4;red-orange
157;136,6;124,8;111,7;69;31,7;55,9;52;14,8;#CEC9C6;27,58;very light grey;#AD957D;23,07;orange;#2C2017;21,73;very dark red-orange;#654F3A;20,47;red-orange;#9FA34F;3,74;yellow
158;134,3;117,9;102,7;38,8;26,3;52,8;50,1;12,3;#B3AAA1;27,88;pale orange;#8B6140;25,96;red-orange;#59564E;18,8;dark orange;#32281F;13,12;very dark red-orange;#93887B;10,56;pale orange
159;109,1;104,6;97,7;76,7;27,4;44,8;43,1;8,6;#37271A;20,79;dark red-orange;#C2D0D8;19,3;pale blue-cyan;#544D3F;16,86;dark orange;#81776A;15,12;pale orange;#17130C;14,11;very dark orange
