IMAGE COLOR SUMMARIZER  —  Batch Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Image Info;;;;;;Mean Values;;;;;;;;Color 1;;;Color 2;;;Color 3;;;Color 4;;;Color 5;;;
#;URL;Filename;ID;placeInfo/name;W×H;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;Status
46;https://media-cdn.tripadvisor.com/media/photo-o/18/dc/68/5b/caption.jpg;caption.jpg;700833645;Cave of Dragon (Spilia tou drakou);960×1280;114,6;76,4;10,8;33,5;91,3;44,9;34,5;40,1;#200E03;25,77;very dark red-orange;#4D2704;24,8;dark red-orange;#824F06;21,86;orange;#BE830C;16,26;vivid orange;#F1D01F;9,72;vivid yellow-orange;✓ OK
47;https://media-cdn.tripadvisor.com/media/photo-m/1280/18/83/3f/01/caption.jpg;caption.jpg;691939304;Cave of Dragon (Spilia tou drakou);1280×853;113,9;98,8;75,9;50,1;52,8;47,7;41,7;20,1;#513922;27,74;dark red-orange;#8E6E53;21,96;red-orange;#1A1006;19,45;very dark orange;#5A8D90;11,98;cyan;#DDB872;9,73;orange;✓ OK
48;https://media-cdn.tripadvisor.com/media/photo-o/18/67/e9/92/maf-2402-1-largejpg.jpg;maf-2402-1-largejpg.jpg;691362137;Cave of Dragon (Spilia tou drakou);795×530;116,6;45,7;11,4;18,3;93,4;45,7;27,8;42,8;#220901;25,63;very dark red;#431202;20,51;dark red;#A43908;16,92;red-orange;#6D2105;16,35;red-orange;#E3671B;15,43;vivid red-orange;✓ OK
49;https://media-cdn.tripadvisor.com/media/photo-w/18/4b/bb/88/caption.jpg;caption.jpg;689136288;Cave of Dragon (Spilia tou drakou);1024×1365;137,4;85,9;27,9;27,5;84,5;53,9;40;42,2;#1D0902;19,69;very dark red-orange;#D18D2B;18,15;vivid orange;#A36017;17,06;orange;#F7BD51;16,07;orange;#441A05;14,89;dark red-orange;✓ OK
50;https://media-cdn.tripadvisor.com/media/photo-m/1280/18/46/d6/27/20190711-120924-largejpg.jpg;20190711-120924-largejpg.jpg;688785963;Cave of Dragon (Spilia tou drakou);720×1280;157,7;76,1;8,6;23,3;95,2;61,8;41,2;57,2;#E8830D;18,5;vivid orange;#882C05;17,88;red-orange;#5E1903;17,6;dark red;#3C0E02;17,38;dark red;#F9A712;14,91;vivid orange;✓ OK
51;https://media-cdn.tripadvisor.com/media/photo-m/1280/17/f8/4c/bb/cave-of-dragon-spilia.jpg;cave-of-dragon-spilia.jpg;682427579;Cave of Dragon (Spilia tou drakou);1280×960;91,2;86,9;74,7;73;25,1;36,8;36;9,6;#3E3B2F;31,45;dark yellow-orange;#655E50;23,31;pale orange;#1E1D17;21,91;very dark yellow-orange;#978E82;12,92;pale orange;#DCD8D4;7,63;very light grey;✓ OK
52;https://media-cdn.tripadvisor.com/media/photo-w/17/94/a0/88/photo0jpg.jpg;photo0jpg.jpg;674925074;Cave of Dragon (Spilia tou drakou);1024×1365;78,6;51,6;22,9;31,7;76,2;31;23,1;23;#1E1008;35,2;very dark red-orange;#3B220E;31,71;dark red-orange;#623711;19,38;red-orange;#BF741E;7,08;vivid orange;#F7E358;3,72;yellow-orange;✓ OK
53;https://media-cdn.tripadvisor.com/media/photo-w/17/56/39/29/photo4jpg.jpg;photo4jpg.jpg;670195916;Cave of Dragon (Spilia tou drakou);1024×1365;78,8;54,1;4,8;33,9;94,3;30,9;23,3;28,6;#1C0D01;31,37;very dark red-orange;#311C02;31,06;very dark orange;#482B03;16,44;dark orange;#905C08;8,06;orange;#DDA511;6,68;vivid orange;✓ OK
54;https://media-cdn.tripadvisor.com/media/photo-o/17/2e/e0/9c/caption.jpg;caption.jpg;666866161;Cave of Dragon (Spilia tou drakou);756×426;137;79,3;26,9;26,6;83,9;53,7;38,9;44,2;#74330A;21,93;red-orange;#995519;20,65;red-orange;#C18231;16,09;orange;#531E08;14,67;dark red-orange;#310E05;14,01;very dark red;✓ OK
55;https://media-cdn.tripadvisor.com/media/photo-o/16/fc/83/cf/20190324-101120-largejpg.jpg;20190324-101120-largejpg.jpg;662145466;Cave of Dragon (Spilia tou drakou);691×921;116,3;126,8;133,5;136,3;23,6;55,8;51,7;11,5;#979088;23,27;pale orange;#6A5D53;18,59;pale red-orange;#292A2D;17,3;very dark blue;#B7DAEA;15,43;pale blue-cyan;#7BA6C7;15,37;blue-cyan;✓ OK
